exposure_time,tolerance
2.0,0.10000000000000009
3.0,0.19999999999999996
4.0,0.19999999999999996
5.0,0.30000000000000004
6.0,0.40000000000000013
7.0,0.40000000000000013
8.0,0.5
9.0,0.5
10.0,0.5
11.0,0.5
12.0,0.5
13.0,0.5
14.0,0.5
15.0,0.5
16.0,0.5
17.0,0.5
18.0,0.5
19.0,0.5
20.0,0.5
21.0,0.5
22.0,0.5
23.0,0.5
24.0,0.5
25.0,0.5
26.0,0.5
27.0,0.5
28.0,0.5
29.0,0.5
30.0,0.5
31.0,0.5
32.0,0.5
33.0,0.5
34.0,0.5
35.0,0.5
36.0,0.5
37.0,0.5
38.0,0.5
39.0,0.5
40.0,0.5
41.0,0.5
42.0,0.5
43.0,0.5
44.0,0.6000000000000001
45.0,0.6000000000000001
46.0,0.6000000000000001
47.0,0.6000000000000001
48.0,0.6000000000000001
49.0,0.6000000000000001
50.0,0.6000000000000001
51.0,0.6000000000000001
52.0,0.6000000000000001
53.0,0.6000000000000001
54.0,0.6000000000000001
55.0,0.6000000000000001
56.0,0.6000000000000001
57.0,0.6000000000000001
58.0,0.6000000000000001
59.0,0.6000000000000001
60.0,0.6000000000000001
61.0,0.6000000000000001
62.0,0.6000000000000001
63.0,0.6000000000000001
64.0,0.6000000000000001
65.0,0.6000000000000001
66.0,0.6000000000000001
67.0,0.6000000000000001
68.0,0.6000000000000001
69.0,0.6000000000000001
70.0,0.6000000000000001
71.0,0.6000000000000001
72.0,0.6000000000000001
73.0,0.6000000000000001
74.0,0.6000000000000001
75.0,0.6000000000000001
76.0,0.6000000000000001
77.0,0.6000000000000001
78.0,0.6000000000000001
79.0,0.6000000000000001
80.0,0.6000000000000001
81.0,0.6000000000000001
82.0,0.6000000000000001
83.0,0.6000000000000001
84.0,0.6000000000000001
85.0,0.6000000000000001
86.0,0.6000000000000001
87.0,0.6000000000000001
88.0,0.6000000000000001
89.0,0.6000000000000001
90.0,0.6000000000000001
91.0,0.6000000000000001
92.0,0.6000000000000001
93.0,0.6000000000000001
94.0,0.6000000000000001
95.0,0.6000000000000001
96.0,0.6000000000000001
97.0,0.6000000000000001
98.0,0.6000000000000001
99.0,0.6000000000000001
100.0,0.6000000000000001
